путь,категории ПДн,количество_находок,УЗ,формат файла
ПДнDataset/share/.DS_Store,Нет,0,УЗ-4,
ПДнDataset/share/Архив сканы/z/zzz77d00/2064857737.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz57d00/2029289405.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz46d00/40015701-5701.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz07d00/tnwl0007597.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz53c00/2064818721.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz01f00/0001252956.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz85c00/2073684077.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz27c00/2041511979.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz52c00/2076160631.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz86c00/2070718633.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz28e00/1005103556.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz83c00/2057775423.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz97c00/527802957+-2958.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz35c00/2083513848.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz62e00/2057077308.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/z/zzz70d00/517751228+-1230.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza94a00/2063196920.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza00d00/50308888-8889.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza43e00/2042537535.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza17e00/2031309105.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza49e00/2501298013.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza51c00/2085779941.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza99d00/500068563.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza29e00/2501172233_2501172290.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza54c00/80702501.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza93c00/2057800212.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza81c00/2501741170_1183.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza50f00/0000269666.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza01f00/0011839665.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza65e00/2046440775.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza96e00/2057680263.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza57d00/2048755106.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza90d00/522746807+-6808.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza20e00/04303523-a.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza61e00/00620531.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza04e00/2040765768.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza94d00/505945066_505945074.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza42d00/2050801870_1873.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza27d00/2075165787.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza44e00/2023086413.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza70e00/92023499_92023505.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza23d00/513327776_513327782.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/a/zza58c00/2083822795.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc39c00/2084511715_1716.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc52d00/2023567144.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc25a00/528339733+-9733.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc70e00/85872405_85872407.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc44e00/2000457615_2000457620.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc85d00/503782317.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc64e00/1001894221.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc74e00/1003185521.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc46d00/50684262-4263.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc19c00/2505280805_0807.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc10f00/0000544864.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc75f00/0060202280.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc26c00/2083183167c_3168.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc12c00/2085112782b_2783.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc08d00/2072341081d_1082.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc58d00/2062521131_1132.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc90f00/0011898456.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc09e00/2041408964.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc85f00/0060117201.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc50c00/ti17180287.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc52f00/tob14300.78_tob14300.80.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc05c00/2064296407_6455.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc83c00/2041158002.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc00d00/50313867-3869.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc53a00/2065088945.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc53e00/2061991348.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc63a00/518623059+-3062.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc42e00/2500122743.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/c/zzc27e00/2028706323.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx80a00/0060000673.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx90a00/0060062976.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx14d00/507710669_507710670.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx33e00/2044073803.tif,Нет,0,УЗ-4,.tif
